,id,ph_gender,car_model,replace_value,area_code,accident_type,days_to_expiry,fraud_prob,fraudulent,time
55,20218,1,B,0,I,T,1,0.68,1,16/08/2020 14:17
56,20217,0,B,0,I,F,0,0.73,1,16/08/2020 14:17
57,20216,0,A,0,B,T,1,0.68,1,16/08/2020 14:17
58,20215,1,C,0,G,F,1,0.65,1,16/08/2020 14:17
59,20214,0,D,0,C,T,0,0.76,1,16/08/2020 14:17
60,20213,1,C,0,J,T,1,0.69,1,16/08/2020 14:17
61,20212,1,E,0,F,D,1,0.65,1,16/08/2020 14:17
62,20211,1,D,0,G,F,1,0.65,1,16/08/2020 14:17
63,20210,1,A,0,H,F,1,0.69,1,16/08/2020 14:17
64,20209,1,A,0,E,F,1,0.65,1,16/08/2020 14:17
65,20208,1,E,0,F,F,1,0.75,1,16/08/2020 14:17
66,20207,1,A,0,G,D,0,0.63,1,16/08/2020 14:17
67,20206,1,A,0,J,T,1,0.69,1,16/08/2020 14:17
68,20205,1,A,0,J,D,0,0.64,1,16/08/2020 14:17
69,20204,0,D,0,D,T,1,0.68,1,16/08/2020 14:17
70,20203,0,E,0,A,F,1,0.75,1,16/08/2020 14:17
71,20202,1,E,1,I,D,0,0.73,1,16/08/2020 14:17
72,20201,0,B,0,C,F,0,0.73,1,16/08/2020 14:17
73,20200,0,C,0,B,F,0,0.73,1,16/08/2020 14:17
74,20199,0,C,0,E,D,1,0.55,0,16/08/2020 14:17
75,20198,1,A,1,I,F,1,0.65,1,16/08/2020 14:17
76,20197,1,C,0,H,F,0,0.77,1,16/08/2020 14:17
77,20196,0,C,0,A,T,0,0.76,1,16/08/2020 14:17
78,20195,0,D,0,B,F,1,0.65,1,16/08/2020 14:17
79,20194,0,D,0,I,T,1,0.68,1,16/08/2020 14:17
80,20193,0,E,0,J,D,1,0.66,1,16/08/2020 14:17
81,20192,1,C,0,J,T,1,0.69,1,16/08/2020 14:17
82,20191,1,E,0,F,D,1,0.65,1,16/08/2020 14:17
83,20190,1,D,1,E,D,1,0.55,0,16/08/2020 14:17
84,20189,0,B,0,D,D,1,0.55,0,16/08/2020 14:17
85,20188,1,B,0,F,T,1,0.68,1,16/08/2020 14:17
86,20187,0,C,0,C,F,0,0.73,1,16/08/2020 14:17
87,20186,0,C,0,H,D,1,0.59,0,16/08/2020 14:17
88,20185,1,B,0,I,F,1,0.65,1,16/08/2020 14:17
89,20184,0,A,0,J,T,0,0.77,1,16/08/2020 14:17
90,20183,0,D,0,A,D,0,0.63,1,16/08/2020 14:17
91,20182,0,E,0,B,D,1,0.65,1,16/08/2020 14:17
92,20181,0,C,0,I,F,1,0.65,1,16/08/2020 14:17
93,20180,0,E,0,G,T,1,0.78,1,16/08/2020 14:17
94,20179,0,C,0,E,F,1,0.65,1,16/08/2020 14:17
95,20178,0,D,0,G,T,1,0.68,1,16/08/2020 14:17
96,20177,0,A,0,H,T,0,0.8,1,16/08/2020 14:17
97,20176,0,A,0,G,D,0,0.63,1,16/08/2020 14:17
98,20175,1,A,0,B,D,1,0.55,0,16/08/2020 14:17
99,20174,0,C,0,F,T,1,0.68,1,16/08/2020 14:17
100,20173,1,E,0,G,T,1,0.78,1,16/08/2020 14:17
101,20172,0,B,0,H,T,1,0.72,1,16/08/2020 14:17
102,20171,0,E,1,C,F,1,0.75,1,16/08/2020 14:17
103,20170,1,B,0,C,D,1,0.55,0,16/08/2020 14:17
104,20169,0,C,0,G,F,1,0.65,1,16/08/2020 14:17
105,20168,0,A,0,D,F,1,0.65,1,16/08/2020 14:17
106,20167,1,A,0,C,D,0,0.63,1,16/08/2020 14:17
107,20166,0,A,0,C,T,1,0.68,1,16/08/2020 14:17
108,20165,1,B,0,A,T,0,0.76,1,16/08/2020 14:17
109,20164,0,D,0,D,T,1,0.68,1,16/08/2020 14:17
110,20163,1,E,0,G,F,1,0.75,1,16/08/2020 14:17
111,20162,1,C,0,E,F,1,0.65,1,16/08/2020 14:17
112,20161,1,B,0,J,T,1,0.69,1,16/08/2020 14:17
113,20160,1,D,0,C,T,1,0.68,1,16/08/2020 14:17
114,20159,1,D,0,I,F,1,0.65,1,16/08/2020 14:17
115,20158,0,E,0,F,D,1,0.65,1,16/08/2020 14:17
116,20157,0,A,0,F,T,1,0.68,1,16/08/2020 14:17
117,20156,1,D,0,B,D,0,0.63,1,16/08/2020 14:17
118,20155,1,A,0,D,F,1,0.65,1,16/08/2020 14:17
119,20154,1,C,0,A,F,1,0.65,1,16/08/2020 14:17
120,20153,1,E,0,D,F,1,0.75,1,16/08/2020 14:17
121,20152,0,D,0,G,D,1,0.55,0,16/08/2020 14:17
122,20151,1,A,0,E,D,1,0.55,0,16/08/2020 14:17
123,20150,1,E,0,F,T,0,0.86,1,16/08/2020 14:17
124,20149,1,B,0,H,T,1,0.72,1,16/08/2020 14:17
125,20148,0,B,0,A,T,1,0.68,1,16/08/2020 14:17
126,20147,0,A,1,H,D,1,0.59,0,16/08/2020 14:17
127,20146,1,A,0,B,F,1,0.65,1,16/08/2020 14:17
128,20145,1,D,0,B,T,1,0.68,1,16/08/2020 14:17
129,20144,0,B,0,J,D,1,0.56,0,16/08/2020 14:17
130,20143,0,B,0,J,F,0,0.74,1,16/08/2020 14:17
131,20142,1,B,0,H,F,1,0.69,1,16/08/2020 14:17
132,20141,1,E,1,I,D,1,0.65,1,16/08/2020 14:17
133,20140,0,E,0,H,D,0,0.77,1,16/08/2020 14:17
134,20139,0,B,0,C,F,1,0.65,1,16/08/2020 14:17
135,20138,1,E,0,B,F,1,0.75,1,16/08/2020 14:17
136,20137,0,C,0,G,D,1,0.55,0,16/08/2020 14:17
137,20136,0,D,0,G,D,1,0.55,0,16/08/2020 14:17
138,20135,0,B,1,I,D,0,0.63,1,16/08/2020 14:17
139,20134,0,A,0,J,F,0,0.74,1,16/08/2020 14:17
140,20133,0,D,1,B,D,0,0.63,1,16/08/2020 14:17
141,20132,0,C,0,C,T,1,0.68,1,16/08/2020 14:17
142,20131,1,D,0,C,D,1,0.55,0,16/08/2020 14:17
143,20130,1,C,0,B,T,0,0.76,1,16/08/2020 14:17
144,20129,0,B,0,E,D,0,0.63,1,16/08/2020 14:17
145,20128,0,D,1,F,T,1,0.68,1,16/08/2020 14:17
146,20127,0,E,0,C,D,1,0.65,1,16/08/2020 14:17
147,20126,1,B,1,D,F,0,0.73,1,16/08/2020 14:17
148,20125,0,C,0,G,D,1,0.55,0,16/08/2020 14:17
149,20124,1,E,1,F,D,1,0.65,1,16/08/2020 14:17
150,20123,0,A,0,C,D,1,0.55,0,16/08/2020 14:17
151,20122,1,E,0,F,D,1,0.65,1,16/08/2020 14:17
152,20121,0,A,0,J,D,0,0.64,1,16/08/2020 14:17
153,20120,0,B,0,F,T,1,0.68,1,16/08/2020 14:17
154,20119,0,E,0,H,F,1,0.79,1,16/08/2020 14:17
155,20118,1,B,0,F,D,1,0.55,0,16/08/2020 14:17
156,20117,1,C,0,J,D,1,0.56,0,16/08/2020 14:17
157,20116,1,D,0,J,T,0,0.77,1,16/08/2020 14:17
158,20115,0,D,0,A,T,1,0.68,1,16/08/2020 14:17
159,20114,0,D,0,G,F,0,0.73,1,16/08/2020 14:17
160,20113,0,B,0,D,T,0,0.76,1,16/08/2020 14:17
161,20112,0,B,0,D,F,0,0.73,1,16/08/2020 14:17
162,20111,1,A,0,A,F,1,0.65,1,16/08/2020 14:17
163,20110,0,B,0,E,T,0,0.76,1,16/08/2020 14:17
164,20109,1,D,1,B,T,1,0.68,1,16/08/2020 14:17
165,20108,1,B,1,D,D,1,0.55,0,16/08/2020 14:17
166,20107,1,E,0,B,T,0,0.86,1,16/08/2020 14:17
167,20106,0,A,0,J,D,1,0.56,0,16/08/2020 14:17
168,20105,1,A,0,J,T,1,0.69,1,16/08/2020 14:17
169,20104,1,D,0,F,F,1,0.65,1,16/08/2020 14:17
170,20103,0,E,1,F,D,1,0.65,1,16/08/2020 14:17
171,20102,1,A,0,B,F,1,0.65,1,16/08/2020 14:17
172,20101,0,A,0,E,T,1,0.68,1,16/08/2020 14:17
173,20100,0,C,0,D,T,0,0.76,1,16/08/2020 14:17
174,20099,0,B,0,D,T,0,0.76,1,16/08/2020 14:17
175,20098,0,D,0,E,D,1,0.55,0,16/08/2020 14:17
176,20097,0,D,0,F,T,1,0.68,1,16/08/2020 14:17
177,20096,1,C,0,H,T,1,0.72,1,16/08/2020 14:17
178,20095,1,D,1,F,T,1,0.68,1,16/08/2020 14:17
179,20094,0,D,0,D,F,1,0.65,1,16/08/2020 14:17
180,20093,0,A,0,A,T,1,0.68,1,16/08/2020 14:17
181,20092,0,A,0,C,T,0,0.76,1,16/08/2020 14:17
182,20091,0,D,1,D,F,0,0.73,1,16/08/2020 14:17
183,20090,0,B,0,F,D,1,0.55,0,16/08/2020 14:17
184,20089,1,E,0,F,F,1,0.75,1,16/08/2020 14:17
185,20088,1,D,1,I,D,1,0.55,0,16/08/2020 14:17
186,20087,0,D,0,C,D,1,0.55,0,16/08/2020 14:17
187,20086,0,D,0,G,T,1,0.68,1,16/08/2020 14:17
188,20085,0,E,0,I,T,1,0.78,1,16/08/2020 14:17
189,20084,1,E,0,C,D,0,0.73,1,16/08/2020 14:17
190,20083,1,D,0,C,T,1,0.68,1,16/08/2020 14:17
191,20082,1,A,0,I,T,1,0.68,1,16/08/2020 14:17
192,20081,1,A,0,I,T,0,0.76,1,16/08/2020 14:17
193,20080,1,C,0,D,D,1,0.55,0,16/08/2020 14:17
194,20079,1,D,0,C,D,0,0.63,1,16/08/2020 14:17
195,20078,0,C,0,B,F,1,0.65,1,16/08/2020 14:17
196,20077,0,C,0,J,F,1,0.66,1,16/08/2020 14:17
197,20076,0,E,0,C,T,1,0.78,1,16/08/2020 14:17
198,20075,1,A,0,J,D,1,0.56,0,16/08/2020 14:17
199,20074,1,D,0,B,D,1,0.55,0,16/08/2020 14:17
200,20073,0,D,0,J,T,0,0.77,1,16/08/2020 14:17
201,20072,0,A,0,G,T,1,0.68,1,16/08/2020 14:17
202,20071,1,C,1,J,D,1,0.56,0,16/08/2020 14:17
203,20070,0,D,0,H,T,1,0.72,1,16/08/2020 14:17
204,20069,0,B,0,G,D,1,0.55,0,16/08/2020 14:17
205,20068,0,E,0,F,F,1,0.75,1,16/08/2020 14:17
206,20067,1,B,0,G,T,1,0.68,1,16/08/2020 14:17
207,20066,0,E,0,I,D,1,0.65,1,16/08/2020 14:17
208,20065,0,B,0,G,F,1,0.65,1,16/08/2020 14:17
209,20064,0,D,0,I,T,1,0.68,1,16/08/2020 14:17
210,20063,0,C,0,J,F,1,0.66,1,16/08/2020 14:17
211,20062,1,C,0,J,D,0,0.64,1,16/08/2020 14:17
212,20061,1,A,0,H,F,1,0.69,1,16/08/2020 14:17
213,20060,0,B,0,A,D,0,0.63,1,16/08/2020 14:17
214,20059,1,C,0,J,T,1,0.69,1,16/08/2020 14:17
215,20058,0,C,0,B,D,1,0.55,0,16/08/2020 14:17
216,20057,0,E,0,G,T,1,0.78,1,16/08/2020 14:17
217,20056,1,C,0,D,D,0,0.63,1,16/08/2020 14:17
218,20055,1,B,0,F,F,1,0.65,1,16/08/2020 14:17
219,20054,1,A,0,H,F,0,0.77,1,16/08/2020 14:17
220,20053,1,A,0,E,F,1,0.65,1,16/08/2020 14:17
221,20052,0,A,0,C,T,0,0.76,1,16/08/2020 14:17
222,20051,1,B,0,H,D,0,0.67,1,16/08/2020 14:17
223,20050,1,A,0,E,F,0,0.73,1,16/08/2020 14:17
224,20049,1,E,0,J,T,1,0.79,1,16/08/2020 14:17
225,20048,1,E,0,G,F,1,0.75,1,16/08/2020 14:17
226,20047,0,E,0,A,F,1,0.75,1,16/08/2020 14:17
227,20046,0,C,0,A,T,1,0.68,1,16/08/2020 14:17
228,20045,1,C,0,E,D,1,0.55,0,16/08/2020 14:17
229,20044,1,B,0,I,D,1,0.55,0,16/08/2020 14:17
230,20043,0,C,0,F,D,1,0.55,0,16/08/2020 14:17
231,20042,0,D,0,J,T,0,0.77,1,16/08/2020 14:17
232,20041,1,C,1,G,F,1,0.65,1,16/08/2020 14:17
233,20040,0,C,0,B,D,1,0.55,0,16/08/2020 14:17
234,20039,0,E,0,I,D,1,0.65,1,16/08/2020 14:17
235,20038,0,C,0,F,D,0,0.63,1,16/08/2020 14:17
236,20037,1,B,0,F,D,0,0.63,1,16/08/2020 14:17
237,20036,1,B,0,C,F,1,0.65,1,16/08/2020 14:17
238,20035,0,A,0,G,T,0,0.76,1,16/08/2020 14:17
239,20034,0,C,0,D,T,1,0.68,1,16/08/2020 14:17
240,20033,0,C,0,B,D,1,0.55,0,16/08/2020 14:17
241,20032,0,D,0,I,F,1,0.65,1,16/08/2020 14:17
242,20031,1,C,0,C,F,1,0.65,1,16/08/2020 14:17
243,20030,0,D,0,F,T,1,0.68,1,16/08/2020 14:17
244,20029,1,E,0,E,D,0,0.73,1,16/08/2020 14:17
245,20028,0,E,0,A,T,1,0.78,1,16/08/2020 14:17
246,20027,0,C,0,H,T,1,0.72,1,16/08/2020 14:17
247,20026,1,E,0,E,T,1,0.78,1,16/08/2020 14:17
248,20025,1,C,0,D,T,1,0.68,1,16/08/2020 14:17
249,20024,1,B,0,C,F,1,0.65,1,16/08/2020 14:17
250,20023,0,A,0,F,T,0,0.76,1,16/08/2020 14:17
251,20022,0,E,0,J,D,1,0.66,1,16/08/2020 14:17
252,20021,1,A,0,I,D,1,0.55,0,16/08/2020 14:17
253,20020,1,B,0,H,T,0,0.8,1,16/08/2020 14:17
254,20019,0,D,1,A,T,1,0.68,1,16/08/2020 14:17
255,20018,1,C,0,E,F,0,0.73,1,16/08/2020 14:17
256,20017,1,E,0,J,F,0,0.84,1,16/08/2020 14:17
257,20016,0,B,0,E,F,1,0.65,1,16/08/2020 14:17
258,20015,1,B,0,I,F,0,0.73,1,16/08/2020 14:17
259,20014,1,E,1,F,T,1,0.78,1,16/08/2020 14:17
260,20013,1,A,0,H,D,1,0.59,0,16/08/2020 14:17
261,20012,1,B,0,A,F,1,0.65,1,16/08/2020 14:17
262,20011,1,A,0,J,D,0,0.64,1,16/08/2020 14:17
263,20010,1,E,0,H,F,0,0.87,1,16/08/2020 14:17
264,20009,0,A,0,A,D,0,0.63,1,16/08/2020 14:17
265,20008,0,D,0,C,T,0,0.76,1,16/08/2020 14:17
266,20007,0,D,0,A,T,1,0.68,1,16/08/2020 14:17
267,20006,1,E,0,F,D,1,0.65,1,16/08/2020 14:17
268,20005,1,D,0,B,F,1,0.65,1,16/08/2020 14:17
269,20004,1,A,0,F,D,1,0.55,0,16/08/2020 14:17
270,20003,0,E,0,H,D,0,0.77,1,16/08/2020 14:17
271,20002,1,A,0,F,T,1,0.68,1,16/08/2020 14:17
272,20001,1,C,0,J,F,0,0.74,1,16/08/2020 14:17
273,20000,1,E,0,H,T,0,0.9,1,16/08/2020 14:17
274,19999,1,A,1,D,D,0,0.63,1,16/08/2020 14:17
275,19998,0,C,0,B,D,0,0.63,1,16/08/2020 14:17
276,19997,1,E,0,F,F,0,0.83,1,16/08/2020 14:17
277,19996,1,A,0,H,F,1,0.69,1,16/08/2020 14:17
278,19995,1,D,1,H,F,0,0.77,1,16/08/2020 14:17
279,19994,0,C,0,D,F,1,0.65,1,16/08/2020 14:17
280,19993,1,C,0,G,D,0,0.63,1,16/08/2020 14:17
281,19992,0,C,0,C,D,1,0.55,0,16/08/2020 14:17
282,19991,0,B,0,J,T,0,0.77,1,16/08/2020 14:17
283,19990,0,B,1,D,F,1,0.65,1,16/08/2020 14:17
284,19989,0,C,0,D,T,1,0.68,1,16/08/2020 14:17
285,19988,0,D,0,H,F,1,0.69,1,16/08/2020 14:17
286,19987,0,D,0,H,F,1,0.69,1,16/08/2020 14:17
287,19986,1,D,0,G,D,1,0.55,0,16/08/2020 14:17
288,19985,0,E,0,F,T,1,0.78,1,16/08/2020 14:17
289,19984,1,C,1,I,F,1,0.65,1,16/08/2020 14:17
290,19983,0,E,0,A,F,1,0.75,1,16/08/2020 14:17
291,19982,1,D,1,B,F,1,0.65,1,16/08/2020 14:17
292,19981,1,C,0,I,T,1,0.68,1,16/08/2020 14:17
293,19980,0,A,0,J,T,1,0.69,1,16/08/2020 14:17
294,19979,0,C,0,D,T,1,0.68,1,16/08/2020 14:17
295,19978,0,D,0,D,F,0,0.73,1,16/08/2020 14:17
296,19977,1,C,0,I,F,0,0.73,1,16/08/2020 14:17
297,19976,1,E,0,J,D,1,0.66,1,16/08/2020 14:17
298,19975,1,E,0,F,D,1,0.65,1,16/08/2020 14:17
299,19974,1,C,1,B,F,1,0.65,1,16/08/2020 14:17
300,19973,1,A,0,I,D,1,0.55,0,16/08/2020 14:17
301,19972,1,C,0,H,T,0,0.8,1,16/08/2020 14:17
302,19971,0,A,0,B,T,1,0.68,1,16/08/2020 14:17
303,19970,1,D,0,E,F,1,0.65,1,16/08/2020 14:17
304,19969,0,D,0,J,D,1,0.56,0,16/08/2020 14:17
305,19968,0,E,0,B,F,1,0.75,1,16/08/2020 14:17
306,19967,1,D,0,G,D,1,0.55,0,16/08/2020 14:17
307,19966,0,B,0,E,T,1,0.68,1,16/08/2020 14:17
308,19965,1,D,0,G,T,1,0.68,1,16/08/2020 14:17
309,19964,1,D,0,E,T,1,0.68,1,16/08/2020 14:17
310,19963,0,C,0,I,D,1,0.55,0,16/08/2020 14:17
311,19962,1,B,0,C,D,1,0.55,0,16/08/2020 14:17
312,19961,0,E,0,J,D,0,0.74,1,16/08/2020 14:17
313,19960,1,A,0,A,F,0,0.73,1,16/08/2020 14:17
314,19959,1,C,0,E,T,1,0.68,1,16/08/2020 14:17
315,19958,1,E,0,J,D,0,0.74,1,16/08/2020 14:17
316,19957,0,B,0,H,D,1,0.59,0,16/08/2020 14:17
317,19956,1,C,0,A,F,1,0.65,1,16/08/2020 14:17
318,19955,1,C,0,G,D,1,0.55,0,16/08/2020 14:17
319,19954,1,E,0,E,D,1,0.65,1,16/08/2020 14:17
320,19953,0,A,0,E,F,1,0.65,1,16/08/2020 14:17
321,19952,1,B,0,C,D,1,0.55,0,16/08/2020 14:17
322,19951,1,C,0,H,T,1,0.72,1,16/08/2020 14:17
323,19950,0,E,0,G,D,1,0.65,1,16/08/2020 14:17
324,19949,0,A,0,G,T,1,0.68,1,16/08/2020 14:17
325,19948,1,B,0,F,F,0,0.73,1,16/08/2020 14:17
326,19947,0,A,1,A,T,0,0.76,1,16/08/2020 14:17
327,19946,0,C,0,A,T,0,0.76,1,16/08/2020 14:17
328,19945,0,E,1,B,F,0,0.83,1,16/08/2020 14:17
329,19944,1,E,1,A,T,1,0.78,1,16/08/2020 14:17
330,19943,1,A,0,G,T,0,0.76,1,16/08/2020 14:17
331,19942,1,C,0,E,D,0,0.63,1,16/08/2020 14:17
332,19941,0,B,0,E,T,1,0.68,1,16/08/2020 14:17
333,19940,0,E,0,F,D,1,0.65,1,16/08/2020 14:17
334,19939,0,E,0,B,F,1,0.75,1,16/08/2020 14:17
335,19938,1,C,0,E,T,0,0.76,1,16/08/2020 14:17
336,19937,1,D,0,A,F,0,0.73,1,16/08/2020 14:17
337,19936,1,A,0,I,T,1,0.68,1,16/08/2020 14:17
338,19935,0,A,0,I,T,1,0.68,1,16/08/2020 14:17
339,19934,1,B,0,E,T,0,0.76,1,16/08/2020 14:17
340,19933,1,A,0,I,F,1,0.65,1,16/08/2020 14:17
341,19932,0,C,0,J,F,1,0.66,1,16/08/2020 14:17
342,19931,1,C,0,E,T,1,0.68,1,16/08/2020 14:17
343,19930,0,C,0,B,T,1,0.68,1,16/08/2020 14:17
344,19929,0,E,0,G,T,1,0.78,1,16/08/2020 14:17
345,19928,1,A,0,G,F,1,0.65,1,16/08/2020 14:17
346,19927,1,E,0,F,T,0,0.86,1,16/08/2020 14:17
347,19926,0,E,0,B,T,0,0.86,1,16/08/2020 14:17
348,19925,1,C,1,C,F,0,0.73,1,16/08/2020 14:17
349,19924,1,E,0,E,T,1,0.78,1,16/08/2020 14:17
350,19923,1,C,0,F,D,0,0.63,1,16/08/2020 14:17
351,19922,0,B,0,E,F,1,0.65,1,16/08/2020 14:17
352,19921,0,D,0,J,F,1,0.66,1,16/08/2020 14:17
353,19920,1,A,0,H,T,1,0.72,1,16/08/2020 14:17
354,19919,1,C,0,F,F,1,0.65,1,16/08/2020 14:17
355,19918,1,A,0,I,T,1,0.68,1,16/08/2020 14:17
356,19917,1,C,0,H,D,1,0.59,0,16/08/2020 14:17
357,19916,0,A,0,F,D,1,0.55,0,16/08/2020 14:17
358,19915,0,D,0,B,F,1,0.65,1,16/08/2020 14:17
359,19914,0,A,0,B,T,1,0.68,1,16/08/2020 14:17
360,19913,0,E,0,I,F,0,0.83,1,16/08/2020 14:17
361,19912,0,A,0,J,F,1,0.66,1,16/08/2020 14:17
362,19911,0,C,0,C,D,1,0.55,0,16/08/2020 14:17
363,19910,0,C,0,J,D,0,0.64,1,16/08/2020 14:17
364,19909,1,E,0,I,D,1,0.65,1,16/08/2020 14:17
365,19908,1,C,0,F,T,1,0.68,1,16/08/2020 14:17
366,19907,0,B,0,D,F,1,0.65,1,16/08/2020 14:17
367,19906,0,A,0,J,D,1,0.56,0,16/08/2020 14:17
368,19905,0,E,0,C,D,0,0.73,1,16/08/2020 14:17
369,19904,0,A,0,F,F,0,0.73,1,16/08/2020 14:17
370,19903,1,D,0,I,T,0,0.76,1,16/08/2020 14:17
371,19902,0,C,0,I,T,1,0.68,1,16/08/2020 14:17
372,19901,0,D,0,B,F,1,0.65,1,16/08/2020 14:17
373,19900,0,C,0,B,F,1,0.65,1,16/08/2020 14:17
374,19899,1,D,0,G,T,1,0.68,1,16/08/2020 14:17
375,19898,1,A,0,D,T,1,0.68,1,16/08/2020 14:17
376,19897,0,C,0,H,D,1,0.59,0,16/08/2020 14:17
377,19896,0,D,0,C,F,0,0.73,1,16/08/2020 14:17
378,19895,1,D,0,H,F,1,0.69,1,16/08/2020 14:17
379,19894,1,E,0,D,D,1,0.65,1,16/08/2020 14:17
380,19893,0,B,0,J,D,1,0.56,0,16/08/2020 14:17
381,19892,0,A,0,A,T,1,0.68,1,16/08/2020 14:17
382,19891,0,E,0,G,F,1,0.75,1,16/08/2020 14:17
383,19890,0,B,0,G,T,1,0.68,1,16/08/2020 14:17
384,19889,0,C,0,B,D,1,0.55,0,16/08/2020 14:17
385,19888,1,A,0,E,F,0,0.73,1,16/08/2020 14:17
386,19887,0,C,0,J,T,0,0.77,1,16/08/2020 14:17
387,19886,1,C,1,B,F,1,0.65,1,16/08/2020 14:17
388,19885,0,C,0,E,F,1,0.65,1,16/08/2020 14:17
389,19884,1,D,0,J,F,1,0.66,1,16/08/2020 14:17
390,19883,1,A,0,I,T,0,0.76,1,16/08/2020 14:17
391,19882,0,B,0,D,F,0,0.73,1,16/08/2020 14:17
392,19881,1,B,0,A,T,0,0.76,1,16/08/2020 14:17
393,19880,1,A,0,E,D,1,0.55,0,16/08/2020 14:17
394,19879,0,D,0,B,D,1,0.55,0,16/08/2020 14:17
395,19878,1,A,0,G,T,1,0.68,1,16/08/2020 14:17
396,19877,0,D,0,G,F,0,0.73,1,16/08/2020 14:17
397,19876,1,C,0,D,F,0,0.73,1,16/08/2020 14:17
398,19875,1,D,0,H,F,1,0.69,1,16/08/2020 14:17
399,19874,0,B,0,B,D,1,0.55,0,16/08/2020 14:17
400,19873,1,D,0,D,D,0,0.63,1,16/08/2020 14:17
401,19872,1,E,0,J,F,1,0.76,1,16/08/2020 14:17
402,19871,1,A,0,J,F,0,0.74,1,16/08/2020 14:17
403,19870,0,D,0,B,F,1,0.65,1,16/08/2020 14:17
404,19869,1,A,0,G,T,1,0.68,1,16/08/2020 14:17
405,19868,1,D,0,H,F,1,0.69,1,16/08/2020 14:17
406,19867,1,D,0,A,D,1,0.55,0,16/08/2020 14:17
407,19866,0,D,0,B,F,1,0.65,1,16/08/2020 14:17
